epoch,categorical_accuracy,f1,loss,val_categorical_accuracy,val_f1,val_loss
0,0.7096114511185257,0.709611398362988,0.682601022434764,0.6339563857357822,0.6339563270595586,0.9080944194971958
1,0.7166228437681418,0.7166227879943535,0.6462372333690711,0.7211838002516845,0.7211837462175672,0.5668934767491349
2,0.7200311593227441,0.7200311038972155,0.6213961898415703,0.6690031108083755,0.6690030512037307,0.6329361144627366
3,0.7150647600526667,0.7150647046271382,0.6146623142123837,0.721183802108527,0.7211837462175672,0.6145775617097398
4,0.7152595194396727,0.7152594651750098,0.617784579629756,0.7336448605558211,0.7336448065217039,0.5448730459837156
5,0.7167202265147213,0.7167201717334732,0.6201754405605536,0.6409657285592266,0.6409656735966881,0.7931601544406927
6,0.7191547374551677,0.7191546819774001,0.6174761573020875,0.7367601260960659,0.7367600702051061,0.5542500019073486
7,0.7249001842915391,0.724900131652088,0.625889623390919,0.7242990639350867,0.7242990099009695,0.7923532527555186
8,0.7400915366275969,0.7400914820146742,0.636934257363934,0.7040498453508657,0.7040497857462209,0.6169225722087135
9,0.7431103318178012,0.7431102785979172,0.6668681255193936,0.7593457929070494,0.7593457425866171,0.5336742766921022
10,0.7442788975312399,0.7442788446596157,0.7053593493434306,0.7515576271995948,0.7515575768791627,0.9288452596307915
11,0.745739604774614,0.745739552419575,0.7470744320986182,0.7757009342080707,0.775700882030796,0.6544267578845455
12,0.747687215790659,0.7476871638477273,0.762087178347533,0.7850467252582776,0.7850466675104754,0.759150736057127
13,0.7419417673871189,0.7419417137028887,0.829636973465925,0.7757009379217558,0.7757008876013236,0.6212879797194234
14,0.7486610193774489,0.7486609665696723,0.8392464093380029,0.690809968847352,0.6908099092427072,1.3024942421838874
15,0.7383386875698752,0.7383386340017316,0.9431984928348696,0.7702492241547486,0.7702491812616865,0.6812917638419201
16,0.7417470050863403,0.7417469508739163,0.9475535949129291,0.7577881564232419,0.7577881023891246,1.190813780945038
17,0.7488557784394125,0.7488557236465556,0.8974884581410301,0.6947040479873943,0.694703990239592,0.998373464074833
18,0.7467134095106609,0.7467133571033829,0.8523611853377869,0.7227414337645438,0.7227413836297959,0.8058099401331393
19,0.7473950729025108,0.7473950191021941,0.8706256586349815,0.7982866084464243,0.7982865525554645,0.7306901434685954
20,0.7404810594007908,0.7404810052522144,0.9205786216942753,0.7149532747417224,0.7149532207076051,0.7852700640479352
21,0.7493426815213683,0.7493426285975051,0.8813463601377415,0.7694704068412662,0.769470356520834,0.6181098439983118
22,0.749440063583037,0.7494400107114129,0.9089132922570305,0.7141744555713975,0.7141743978235952,0.9716906827001185
23,0.7492452995815903,0.7492452462978588,0.9209056571728184,0.7538940828537273,0.75389403624698,0.831192588787584
24,0.7424286685072119,0.7424286146430475,1.0211742594047302,0.6362928330341232,0.636292775286321,2.1770613115524577
25,0.7493426814691293,0.7493426270883797,1.0108362894488212,0.7733644896949935,0.7733644430882463,0.6279166085512096
26,0.7449605629197786,0.7449605120216259,1.0871485751319947,0.7936137064223721,0.7936136542450973,0.8250186905682644
27,0.7418443884075483,0.7418443342589719,1.1146781848356664,0.7912772600524522,0.7912772078751775,1.0612728641226283
28,0.7405784400345949,0.7405783875634694,1.0654054933658117,0.7881619945122074,0.7881619423349328,0.9297668092718748
29,0.7366832209162778,0.7366831678124804,1.1655540961766035,0.7858255444286025,0.7858254922513278,0.7661639244014229
